date,MERCHANT_1_NUMBER_OF_TRX,MERCHANT_2_NUMBER_OF_TRX,MERCHANT_LOW_NUMBER_OF_TRX
2021-05-07 03:00:00,71.0,0.0,0.0
2021-05-07 04:00:00,85.0,0.0,0.0
2021-05-07 05:00:00,122.0,0.0,0.0
2021-05-07 06:00:00,83.0,0.0,0.0
2021-05-07 07:00:00,73.0,0.0,0.0
2021-05-07 08:00:00,64.0,0.0,0.0
2021-05-07 09:00:00,63.0,0.0,0.0
2021-05-07 10:00:00,84.0,0.0,0.0
2021-05-07 11:00:00,151.0,1.0,0.0
2021-05-07 12:00:00,105.0,0.0,0.0
2021-05-07 13:00:00,0.0,0.0,0.0
2021-05-07 14:00:00,0.0,2.0,0.0
2021-05-07 15:00:00,0.0,0.0,0.0
2021-05-07 16:00:00,0.0,1.0,0.0
2021-05-07 17:00:00,0.0,0.0,0.0
2021-05-07 18:00:00,0.0,0.0,0.0
2021-05-07 19:00:00,0.0,0.0,0.0
2021-05-07 20:00:00,0.0,0.0,0.0
2021-05-07 21:00:00,0.0,1.0,0.0
2021-05-07 22:00:00,0.0,0.0,0.0
2021-05-07 23:00:00,0.0,1.0,0.0
2021-05-08 00:00:00,0.0,0.0,0.0
2021-05-08 01:00:00,172.0,0.0,0.0
2021-05-08 02:00:00,107.0,1.0,0.0
2021-05-08 03:00:00,90.0,1.0,0.0
2021-05-08 04:00:00,119.0,0.0,0.0
2021-05-08 05:00:00,152.0,0.0,0.0
2021-05-08 06:00:00,137.0,1.0,0.0
2021-05-08 07:00:00,104.0,1.0,0.0
2021-05-08 08:00:00,110.0,0.0,0.0
2021-05-08 09:00:00,100.0,0.0,0.0
2021-05-08 10:00:00,92.0,1.0,0.0
2021-05-08 11:00:00,136.0,0.0,0.0
2021-05-08 12:00:00,194.0,2.0,0.0
2021-05-08 13:00:00,0.0,0.0,0.0
2021-05-08 14:00:00,0.0,3.0,0.0
2021-05-08 15:00:00,0.0,0.0,0.0
2021-05-08 16:00:00,0.0,0.0,0.0
2021-05-08 17:00:00,0.0,0.0,0.0
2021-05-08 18:00:00,0.0,0.0,0.0
2021-05-08 19:00:00,0.0,1.0,0.0
2021-05-08 20:00:00,0.0,0.0,0.0
2021-05-08 21:00:00,0.0,0.0,0.0
2021-05-08 22:00:00,0.0,1.0,0.0
2021-05-08 23:00:00,0.0,3.0,0.0
2021-05-09 00:00:00,0.0,1.0,0.0
2021-05-09 01:00:00,180.0,0.0,0.0
2021-05-09 02:00:00,138.0,0.0,0.0
2021-05-09 03:00:00,105.0,0.0,0.0
2021-05-09 04:00:00,159.0,1.0,0.0
2021-05-09 05:00:00,195.0,0.0,0.0
2021-05-09 06:00:00,180.0,0.0,0.0
2021-05-09 07:00:00,148.0,0.0,0.0
2021-05-09 08:00:00,85.0,0.0,0.0
2021-05-09 09:00:00,81.0,0.0,0.0
2021-05-09 10:00:00,79.0,1.0,0.0
2021-05-09 11:00:00,126.0,0.0,0.0
2021-05-09 12:00:00,208.0,1.0,0.0
2021-05-09 13:00:00,0.0,1.0,0.0
2021-05-09 14:00:00,0.0,1.0,0.0
2021-05-09 15:00:00,0.0,1.0,0.0
2021-05-09 16:00:00,0.0,0.0,0.0
2021-05-09 17:00:00,0.0,0.0,0.0
2021-05-09 18:00:00,0.0,0.0,0.0
2021-05-09 19:00:00,0.0,0.0,0.0
2021-05-09 20:00:00,0.0,0.0,0.0
2021-05-09 21:00:00,0.0,1.0,0.0
2021-05-09 22:00:00,0.0,0.0,0.0
2021-05-09 23:00:00,0.0,0.0,0.0
2021-05-10 00:00:00,0.0,0.0,0.0
2021-05-10 01:00:00,81.0,0.0,0.0
2021-05-10 02:00:00,52.0,0.0,0.0
2021-05-10 03:00:00,47.0,0.0,0.0
2021-05-10 04:00:00,74.0,0.0,0.0
2021-05-10 05:00:00,110.0,0.0,0.0
2021-05-10 06:00:00,74.0,0.0,0.0
2021-05-10 07:00:00,30.0,0.0,0.0
2021-05-10 08:00:00,57.0,0.0,0.0
2021-05-10 09:00:00,46.0,0.0,0.0
2021-05-10 10:00:00,47.0,0.0,0.0
2021-05-10 11:00:00,76.0,1.0,0.0
2021-05-10 12:00:00,121.0,3.0,0.0
2021-05-10 13:00:00,0.0,0.0,0.0
2021-05-10 14:00:00,0.0,0.0,0.0
2021-05-10 15:00:00,0.0,0.0,0.0
2021-05-10 16:00:00,0.0,0.0,0.0
2021-05-10 17:00:00,0.0,0.0,0.0
2021-05-10 18:00:00,0.0,0.0,0.0
2021-05-10 19:00:00,0.0,4.0,0.0
2021-05-10 20:00:00,0.0,0.0,0.0
2021-05-10 21:00:00,0.0,0.0,0.0
2021-05-10 22:00:00,0.0,0.0,0.0
2021-05-10 23:00:00,0.0,0.0,0.0
2021-05-11 00:00:00,0.0,0.0,0.0
2021-05-11 01:00:00,101.0,0.0,0.0
2021-05-11 02:00:00,73.0,0.0,0.0
2021-05-11 03:00:00,54.0,0.0,0.0
2021-05-11 04:00:00,90.0,0.0,0.0
2021-05-11 05:00:00,103.0,0.0,0.0
2021-05-11 06:00:00,81.0,0.0,0.0
2021-05-11 07:00:00,53.0,0.0,0.0
2021-05-11 08:00:00,38.0,0.0,0.0
2021-05-11 09:00:00,48.0,0.0,0.0
2021-05-11 10:00:00,57.0,0.0,0.0
2021-05-11 11:00:00,110.0,0.0,0.0
2021-05-11 12:00:00,100.0,0.0,0.0
2021-05-11 13:00:00,0.0,2.0,0.0
2021-05-11 14:00:00,0.0,0.0,0.0
2021-05-11 15:00:00,0.0,1.0,0.0
2021-05-11 16:00:00,0.0,1.0,0.0
2021-05-11 17:00:00,0.0,1.0,0.0
2021-05-11 18:00:00,0.0,0.0,0.0
2021-05-11 19:00:00,0.0,0.0,0.0
2021-05-11 20:00:00,0.0,3.0,0.0
2021-05-11 21:00:00,0.0,1.0,0.0
2021-05-11 22:00:00,0.0,2.0,0.0
2021-05-11 23:00:00,0.0,3.0,0.0
2021-05-12 00:00:00,0.0,2.0,0.0
2021-05-12 01:00:00,105.0,0.0,0.0
2021-05-12 02:00:00,75.0,2.0,0.0
2021-05-12 03:00:00,57.0,0.0,0.0
2021-05-12 04:00:00,92.0,0.0,0.0
2021-05-12 05:00:00,109.0,0.0,0.0
2021-05-12 06:00:00,82.0,0.0,0.0
2021-05-12 07:00:00,59.0,0.0,0.0
2021-05-12 08:00:00,65.0,0.0,0.0
2021-05-12 09:00:00,58.0,0.0,0.0
2021-05-12 10:00:00,107.0,0.0,0.0
2021-05-12 11:00:00,113.0,0.0,0.0
2021-05-12 12:00:00,126.0,2.0,0.0
2021-05-12 13:00:00,0.0,0.0,0.0
2021-05-12 14:00:00,0.0,0.0,0.0
2021-05-12 15:00:00,0.0,2.0,0.0
2021-05-12 16:00:00,0.0,0.0,0.0
2021-05-12 17:00:00,0.0,2.0,0.0
2021-05-12 18:00:00,0.0,0.0,0.0
2021-05-12 19:00:00,0.0,1.0,0.0
2021-05-12 20:00:00,0.0,0.0,0.0
2021-05-12 21:00:00,0.0,0.0,0.0
2021-05-12 22:00:00,0.0,0.0,0.0
2021-05-12 23:00:00,0.0,1.0,0.0
2021-05-13 00:00:00,0.0,2.0,0.0
2021-05-13 01:00:00,111.0,0.0,0.0
2021-05-13 02:00:00,97.0,1.0,0.0
2021-05-13 03:00:00,61.0,0.0,0.0
2021-05-13 04:00:00,116.0,1.0,0.0
2021-05-13 05:00:00,161.0,0.0,0.0
2021-05-13 06:00:00,88.0,0.0,0.0
2021-05-13 07:00:00,72.0,0.0,0.0
2021-05-13 08:00:00,63.0,0.0,0.0
2021-05-13 09:00:00,41.0,0.0,0.0
2021-05-13 10:00:00,76.0,0.0,0.0
2021-05-13 11:00:00,114.0,0.0,0.0
2021-05-13 12:00:00,117.0,0.0,0.0
2021-05-13 13:00:00,0.0,0.0,0.0
2021-05-13 14:00:00,0.0,1.0,0.0
2021-05-13 15:00:00,0.0,0.0,0.0
2021-05-13 16:00:00,0.0,0.0,0.0
2021-05-13 17:00:00,0.0,1.0,0.0
2021-05-13 18:00:00,0.0,0.0,0.0
2021-05-13 19:00:00,0.0,1.0,0.0
2021-05-13 20:00:00,0.0,2.0,0.0
2021-05-13 21:00:00,0.0,3.0,0.0
2021-05-13 22:00:00,0.0,2.0,0.0
2021-05-13 23:00:00,0.0,0.0,0.0
2021-05-14 00:00:00,0.0,0.0,0.0
2021-05-14 01:00:00,117.0,1.0,0.0
2021-05-14 02:00:00,104.0,1.0,0.0
2021-05-14 03:00:00,82.0,1.0,0.0
2021-05-14 04:00:00,136.0,0.0,0.0
2021-05-14 05:00:00,147.0,0.0,0.0
2021-05-14 06:00:00,132.0,0.0,0.0
2021-05-14 07:00:00,76.0,0.0,0.0
2021-05-14 08:00:00,78.0,0.0,0.0
2021-05-14 09:00:00,64.0,0.0,0.0
2021-05-14 10:00:00,97.0,0.0,0.0
2021-05-14 11:00:00,182.0,0.0,0.0
2021-05-14 12:00:00,147.0,1.0,0.0
2021-05-14 13:00:00,0.0,0.0,0.0
2021-05-14 14:00:00,0.0,2.0,0.0
2021-05-14 15:00:00,0.0,1.0,0.0
2021-05-14 16:00:00,0.0,0.0,0.0
2021-05-14 17:00:00,0.0,2.0,0.0
2021-05-14 18:00:00,0.0,0.0,0.0
2021-05-14 19:00:00,0.0,0.0,0.0
2021-05-14 20:00:00,0.0,1.0,0.0
2021-05-14 21:00:00,0.0,0.0,0.0
2021-05-14 22:00:00,0.0,2.0,0.0
2021-05-14 23:00:00,0.0,1.0,0.0
2021-05-15 00:00:00,0.0,6.0,0.0
2021-05-15 01:00:00,153.0,3.0,0.0
2021-05-15 02:00:00,112.0,1.0,0.0
2021-05-15 03:00:00,109.0,0.0,0.0
2021-05-15 04:00:00,124.0,0.0,0.0
2021-05-15 05:00:00,181.0,0.0,0.0
2021-05-15 06:00:00,165.0,0.0,0.0
2021-05-15 07:00:00,106.0,0.0,0.0
2021-05-15 08:00:00,75.0,0.0,0.0
2021-05-15 09:00:00,65.0,0.0,0.0
2021-05-15 10:00:00,96.0,0.0,0.0
2021-05-15 11:00:00,137.0,0.0,0.0
2021-05-15 12:00:00,212.0,0.0,0.0
2021-05-15 13:00:00,0.0,1.0,0.0
2021-05-15 14:00:00,0.0,1.0,0.0
2021-05-15 15:00:00,0.0,1.0,0.0
2021-05-15 16:00:00,0.0,0.0,0.0
2021-05-15 17:00:00,0.0,0.0,0.0
2021-05-15 18:00:00,0.0,0.0,0.0
2021-05-15 19:00:00,0.0,2.0,0.0
2021-05-15 20:00:00,0.0,4.0,0.0
2021-05-15 21:00:00,0.0,1.0,0.0
2021-05-15 22:00:00,0.0,2.0,0.0
2021-05-15 23:00:00,0.0,0.0,0.0
2021-05-16 00:00:00,0.0,1.0,0.0
2021-05-16 01:00:00,150.0,0.0,0.0
2021-05-16 02:00:00,108.0,1.0,0.0
2021-05-16 03:00:00,91.0,3.0,0.0
2021-05-16 04:00:00,113.0,1.0,0.0
2021-05-16 05:00:00,183.0,0.0,0.0
2021-05-16 06:00:00,149.0,0.0,0.0
2021-05-16 07:00:00,125.0,3.0,0.0
2021-05-16 08:00:00,114.0,2.0,0.0
2021-05-16 09:00:00,98.0,1.0,0.0
2021-05-16 10:00:00,98.0,0.0,0.0
2021-05-16 11:00:00,127.0,1.0,0.0
2021-05-16 12:00:00,186.0,0.0,0.0
2021-05-16 13:00:00,0.0,0.0,0.0
2021-05-16 14:00:00,0.0,1.0,0.0
2021-05-16 15:00:00,0.0,0.0,0.0
2021-05-16 16:00:00,0.0,1.0,0.0
2021-05-16 17:00:00,0.0,1.0,0.0
2021-05-16 18:00:00,0.0,0.0,0.0
2021-05-16 19:00:00,0.0,0.0,0.0
2021-05-16 20:00:00,0.0,0.0,0.0
2021-05-16 21:00:00,0.0,2.0,0.0
2021-05-16 22:00:00,0.0,1.0,0.0
2021-05-16 23:00:00,0.0,1.0,0.0
2021-05-17 00:00:00,0.0,1.0,0.0
2021-05-17 01:00:00,150.0,0.0,0.0
2021-05-17 02:00:00,97.0,3.0,0.0
2021-05-17 03:00:00,80.0,1.0,0.0
2021-05-17 04:00:00,120.0,1.0,0.0
2021-05-17 05:00:00,177.0,0.0,0.0
2021-05-17 06:00:00,164.0,0.0,0.0
2021-05-17 07:00:00,127.0,0.0,0.0
2021-05-17 08:00:00,83.0,0.0,0.0
2021-05-17 09:00:00,71.0,0.0,0.0
2021-05-17 10:00:00,89.0,0.0,0.0
2021-05-17 11:00:00,133.0,0.0,0.0
2021-05-17 12:00:00,153.0,1.0,0.0
2021-05-17 13:00:00,0.0,0.0,0.0
2021-05-17 14:00:00,0.0,0.0,0.0
2021-05-17 15:00:00,0.0,0.0,0.0
2021-05-17 16:00:00,0.0,0.0,0.0
2021-05-17 17:00:00,0.0,2.0,0.0
2021-05-17 18:00:00,0.0,1.0,0.0
2021-05-17 19:00:00,0.0,1.0,0.0
2021-05-17 20:00:00,0.0,1.0,0.0
2021-05-17 21:00:00,0.0,2.0,0.0
2021-05-17 22:00:00,0.0,2.0,0.0
2021-05-17 23:00:00,0.0,0.0,0.0
2021-05-18 00:00:00,0.0,0.0,0.0
2021-05-18 01:00:00,113.0,1.0,0.0
2021-05-18 02:00:00,88.0,1.0,0.0
2021-05-18 03:00:00,83.0,0.0,0.0
2021-05-18 04:00:00,102.0,0.0,0.0
2021-05-18 05:00:00,137.0,0.0,0.0
2021-05-18 06:00:00,78.0,0.0,0.0
2021-05-18 07:00:00,55.0,0.0,0.0
2021-05-18 08:00:00,45.0,0.0,0.0
2021-05-18 09:00:00,70.0,0.0,0.0
2021-05-18 10:00:00,69.0,1.0,0.0
2021-05-18 11:00:00,105.0,1.0,0.0
2021-05-18 12:00:00,141.0,1.0,0.0
2021-05-18 13:00:00,0.0,7.0,0.0
2021-05-18 14:00:00,0.0,2.0,0.0
2021-05-18 15:00:00,0.0,2.0,0.0
2021-05-18 16:00:00,0.0,3.0,0.0
2021-05-18 17:00:00,0.0,1.0,0.0
2021-05-18 18:00:00,0.0,0.0,0.0
2021-05-18 19:00:00,0.0,2.0,0.0
2021-05-18 20:00:00,0.0,0.0,0.0
2021-05-18 21:00:00,0.0,2.0,0.0
2021-05-18 22:00:00,0.0,1.0,0.0
2021-05-18 23:00:00,0.0,4.0,0.0
2021-05-19 00:00:00,0.0,0.0,0.0
2021-05-19 01:00:00,107.0,0.0,0.0
2021-05-19 02:00:00,88.0,1.0,0.0
2021-05-19 03:00:00,84.0,0.0,0.0
2021-05-19 04:00:00,99.0,0.0,0.0
2021-05-19 05:00:00,132.0,0.0,0.0
2021-05-19 06:00:00,85.0,0.0,0.0
2021-05-19 07:00:00,69.0,0.0,0.0
2021-05-19 08:00:00,71.0,0.0,0.0
2021-05-19 09:00:00,75.0,0.0,0.0
2021-05-19 10:00:00,59.0,1.0,0.0
2021-05-19 11:00:00,136.0,0.0,0.0
2021-05-19 12:00:00,140.0,2.0,0.0
2021-05-19 13:00:00,0.0,4.0,0.0
2021-05-19 14:00:00,0.0,2.0,0.0
2021-05-19 15:00:00,0.0,2.0,0.0
2021-05-19 16:00:00,0.0,1.0,0.0
2021-05-19 17:00:00,0.0,1.0,0.0
2021-05-19 18:00:00,0.0,1.0,0.0
2021-05-19 19:00:00,0.0,2.0,0.0
2021-05-19 20:00:00,0.0,1.0,0.0
2021-05-19 21:00:00,0.0,0.0,0.0
2021-05-19 22:00:00,0.0,1.0,0.0
2021-05-19 23:00:00,0.0,2.0,0.0
2021-05-20 00:00:00,0.0,0.0,0.0
2021-05-20 01:00:00,149.0,0.0,0.0
2021-05-20 02:00:00,104.0,0.0,0.0
2021-05-20 03:00:00,77.0,0.0,0.0
2021-05-20 04:00:00,130.0,0.0,0.0
2021-05-20 05:00:00,148.0,1.0,0.0
2021-05-20 06:00:00,94.0,0.0,0.0
2021-05-20 07:00:00,72.0,0.0,0.0
2021-05-20 08:00:00,63.0,0.0,0.0
2021-05-20 09:00:00,80.0,0.0,0.0
2021-05-20 10:00:00,95.0,0.0,0.0
2021-05-20 11:00:00,148.0,1.0,0.0
2021-05-20 12:00:00,134.0,0.0,0.0
2021-05-20 13:00:00,0.0,2.0,0.0
2021-05-20 14:00:00,0.0,0.0,0.0
2021-05-20 15:00:00,0.0,1.0,0.0
2021-05-20 16:00:00,0.0,1.0,0.0
2021-05-20 17:00:00,0.0,1.0,0.0
2021-05-20 18:00:00,0.0,1.0,0.0
2021-05-20 19:00:00,0.0,5.0,0.0
2021-05-20 20:00:00,0.0,2.0,0.0
2021-05-20 21:00:00,0.0,0.0,0.0
2021-05-20 22:00:00,0.0,1.0,0.0
2021-05-20 23:00:00,0.0,0.0,0.0
2021-05-21 00:00:00,0.0,0.0,0.0
2021-05-21 01:00:00,163.0,4.0,0.0
2021-05-21 02:00:00,99.0,1.0,0.0
2021-05-21 03:00:00,76.0,1.0,0.0
2021-05-21 04:00:00,156.0,0.0,0.0
2021-05-21 05:00:00,209.0,0.0,0.0
2021-05-21 06:00:00,157.0,1.0,0.0
2021-05-21 07:00:00,117.0,1.0,0.0
2021-05-21 08:00:00,88.0,1.0,0.0
2021-05-21 09:00:00,129.0,0.0,0.0
2021-05-21 10:00:00,162.0,1.0,0.0
2021-05-21 11:00:00,216.0,0.0,0.0
2021-05-21 12:00:00,162.0,1.0,0.0
2021-05-21 13:00:00,0.0,5.0,0.0
2021-05-21 14:00:00,0.0,2.0,0.0
2021-05-21 15:00:00,0.0,2.0,0.0
2021-05-21 16:00:00,0.0,0.0,0.0
2021-05-21 17:00:00,0.0,3.0,0.0
2021-05-21 18:00:00,0.0,1.0,0.0
2021-05-21 19:00:00,0.0,1.0,0.0
2021-05-21 20:00:00,0.0,1.0,0.0
2021-05-21 21:00:00,0.0,1.0,0.0
2021-05-21 22:00:00,0.0,0.0,0.0
2021-05-21 23:00:00,0.0,2.0,0.0
2021-05-22 00:00:00,0.0,0.0,0.0
2021-05-22 01:00:00,253.0,0.0,0.0
2021-05-22 02:00:00,135.0,0.0,0.0
2021-05-22 03:00:00,155.0,2.0,0.0
2021-05-22 04:00:00,162.0,1.0,0.0
2021-05-22 05:00:00,203.0,2.0,0.0
2021-05-22 06:00:00,218.0,0.0,0.0
2021-05-22 07:00:00,143.0,0.0,0.0
2021-05-22 08:00:00,108.0,0.0,0.0
2021-05-22 09:00:00,102.0,1.0,0.0
2021-05-22 10:00:00,127.0,0.0,0.0
2021-05-22 11:00:00,144.0,0.0,0.0
2021-05-22 12:00:00,220.0,2.0,0.0
2021-05-22 13:00:00,0.0,0.0,0.0
2021-05-22 14:00:00,0.0,1.0,0.0
2021-05-22 15:00:00,0.0,1.0,0.0
2021-05-22 16:00:00,0.0,0.0,0.0
2021-05-22 17:00:00,0.0,3.0,0.0
2021-05-22 18:00:00,0.0,1.0,0.0
2021-05-22 19:00:00,0.0,0.0,0.0
2021-05-22 20:00:00,0.0,4.0,0.0
2021-05-22 21:00:00,0.0,2.0,0.0
2021-05-22 22:00:00,0.0,4.0,0.0
2021-05-22 23:00:00,0.0,2.0,0.0
2021-05-23 00:00:00,0.0,2.0,0.0
2021-05-23 01:00:00,198.0,0.0,0.0
2021-05-23 02:00:00,140.0,2.0,0.0
2021-05-23 03:00:00,115.0,4.0,0.0
2021-05-23 04:00:00,132.0,0.0,0.0
2021-05-23 05:00:00,222.0,0.0,0.0
2021-05-23 06:00:00,205.0,0.0,0.0
2021-05-23 07:00:00,157.0,0.0,0.0
2021-05-23 08:00:00,142.0,0.0,0.0
2021-05-23 09:00:00,124.0,2.0,0.0
2021-05-23 10:00:00,120.0,0.0,0.0
2021-05-23 11:00:00,166.0,1.0,0.0
2021-05-23 12:00:00,192.0,1.0,0.0
2021-05-23 13:00:00,0.0,0.0,0.0
2021-05-23 14:00:00,0.0,0.0,0.0
2021-05-23 15:00:00,0.0,1.0,0.0
2021-05-23 16:00:00,0.0,2.0,0.0
2021-05-23 17:00:00,0.0,0.0,0.0
2021-05-23 18:00:00,0.0,0.0,0.0
2021-05-23 19:00:00,0.0,3.0,0.0
2021-05-23 20:00:00,0.0,1.0,0.0
2021-05-23 21:00:00,0.0,0.0,0.0
2021-05-23 22:00:00,0.0,3.0,0.0
2021-05-23 23:00:00,0.0,4.0,0.0
2021-05-24 00:00:00,0.0,2.0,0.0
2021-05-24 01:00:00,118.0,1.0,0.0
